name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
lisboa,2017-03-13 00:00:00,12.0,12.0,6.9,71.12,0.0,0,,0,0,,28.4,352.0,1027.7,27.9,11.6,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 01:00:00,11.6,11.6,9.9,89.16,0.0,0,,0,0,,21.3,2.0,1027.7,27.5,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"08535099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 02:00:00,11.6,11.6,7.0,73.32,0.0,0,,0,0,,28.2,3.0,1027.5,27.5,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"08535099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 03:00:00,12.0,12.0,7.7,75.01,0.0,0,,0,0,57.6,28.7,351.0,1026.7,29.5,11.6,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 04:00:00,11.1,11.1,10.4,95.65,0.0,0,,0,0,,31.2,343.0,1026.4,27.5,10.0,0.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"08535099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 05:00:00,11.0,11.0,8.4,83.74,0.0,0,,0,0,,21.8,351.0,1026.2,0.4,10.0,0.0,0.0,0.0,,Clear,clear-night,"08535099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 06:00:00,10.6,10.6,7.7,82.19,0.0,0,,0,0,,24.8,351.0,1026.3,30.0,12.7,2.0,0.0,0.0,,Partially cloudy,partly-cloudy-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 07:00:00,10.9,10.9,7.3,78.41,0.0,0,,0,0,,24.8,341.0,1026.1,27.5,10.0,114.0,0.4,1.0,,Partially cloudy,partly-cloudy-day,"08535099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 08:00:00,11.5,11.5,6.2,69.94,0.0,0,,0,0,,35.0,341.0,1025.9,27.5,10.0,319.5,1.2,3.0,,Partially cloudy,partly-cloudy-day,"08535099999,08536099999,LPPT,08579099999"
lisboa,2017-03-13 09:00:00,12.6,12.6,8.5,76.36,0.0,0,,0,0,,32.3,351.0,1026.0,10.9,17.7,515.0,1.9,5.0,,Clear,clear-day,"08535099999,08532099999,08534099999,08536099999,LPPT,08579099999"
